Nom,Pate Bière,Pate Nature,Confiture Fraise,Nutella,Miel,Sucre,Beurre,Emmental,Raclette,Oeuf,Jambon,Poulet,Confiture Abricot,Chèvre,Spéculoos,Banane,Beurre Cacahuete
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Othmamo#9345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spdy#2508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spdy#2508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yxyfer#9194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Youenn#6620,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yabsira#8258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak#8348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
saguira#3353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Irrace#8180,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amme#1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage#5610,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LeLapinouAlpha#2423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Louis Cqrl#8068,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
josielfe#9073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlotronics#2141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzedine#6073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mamady#3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orelc#2545,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Fey#1160,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ShinysArc#0001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XxGamerxX#6925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MiouS#9129,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilian#4697,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6×Tan CamC#7804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyriu1#6663,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Galzid#3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matteorenault#5239,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MiouS#9129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azertyuiop#7736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrace#8180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrace#8180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrace#8180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RánHel#1182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aymeric#0898,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σταrkιηατϕr#5191,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xelium#2970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SudoBe_#9549,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaggy#2212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
thibaud#4972,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
canard espagnol#2523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
None,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Fey#1160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anes_mh#4456,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
bapdecha#6378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzedine#6073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Amine#8573,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali05#0753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali05#0753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakuro#8151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali05#0753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azertyuiop#7736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali05#0753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarletsu#6242,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
joe17ar#5154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarletsu#6242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayane Memiche#0738,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4fromaj#3256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sickaelle#3994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
s.cherraou#6443,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Sage#5610,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ArlindR#3184,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Slayrron#8566,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiryn - Glarilak#9175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Azzedine#6073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Clément#4057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzedine#6073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArlindR#3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlotronics#2141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aymeric Arnaud#2548,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak#8348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goup#9107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Law#5701,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Slayrron#8566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MisterBlaza#2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lopilo64#3129,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Raphael B#3366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Loska#4231,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Enguerrand#9624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard L#0971,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Orangina#3986,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aymeric#0898,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tats#6285,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilian#4697,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nissou#6237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rooteur#7070,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luyo#1600,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoe#3190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillaume#6951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Timmus#8952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillaume#6951,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Robert Nant#9535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Merlin | Rubyx#6766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youenn#6620,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrace#8180,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianlu#3033,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Draze#5187,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldepp#0249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holo the Drunk#1337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Youenn#6620,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Irrace#8180,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MiouS#9129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrace#8180,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Irrace#8180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zénithy#9555,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Lorgeoux#5675,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak#8348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Amine#8573,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Enguerrand#9624,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
snickers3.6#8925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Merlin | Rubyx#6766,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Louis Cqrl#8068,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali05#0753,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldepp#0249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tats#6285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Raphael B#3366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiryn - Glarilak#9175,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luyo#1600,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
bapdecha#6378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillaume#6951,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Draze#5187,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak#8348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krabyx#0049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krabyx#0049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stolen#1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stolen#1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ido#5645,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ArlindR#3184,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzedine#6073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigonis#9114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage#5610,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Zénithy#9555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
antoineroubaud#1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeansebsxm#8043,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Othmamo#9345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Greendayser#5464,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Trigonis#9114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mykado#1300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goup#9107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiryn - Glarilak#9175,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ethiryn - Glarilak#9175,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzedine#6073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supejman#6096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
